y,x0,x1,x2,x3,x4
1.45,A0,A0,92,3,A0
1.7,A0,A1,60,12,A0
1.599,A1,A1,170,8,
2.0,A2,A1,75,5,A1
4.3,A0,A1,54,6,A0
0.15,A2,A1,56,10,A1
3.2,A3,A1,130,9,A0
1.0,A4,A1,140,10,
6.2,A4,A1,170,2,A2
4.55,A1,A0,0,9,A1
3.299,A4,A0,116,9,A0
1.9,A2,A0,1937,6,A1
0.85,A0,A2,0,0,A0
2.99,A5,A0,163,1,A0
1.2,A2,A0,0,3,A0
0.999,A0,A0,41,10,A2
11.0,A1,A0,218,7,A0
37.5,A6,A0,400,4,A0
1.9,A4,A1,70,0,A1
36.0,A4,A0,190,6,A0
12.9,A7,A1,204,12,A0
11.7,A2,A1,177,4,A0
10.9,A5,A1,160,3,A0
12.0,A7,A1,98,6,A0
0.65,A4,A1,75,11,A1
4.4,A0,A1,80,6,A0
29.0,A1,A0,170,5,A0
23.6,A6,A1,143,8,A0
,A1,A1,143,7,A1
2.55,A2,A2,107,6,A1
3.0,A4,A1,163,12,A0
2.0,A4,A0,150,8,A0
18.3,A4,A0,239,5,A0
2.5,A1,A1,105,5,A0
0.35,A0,A2,0,2,A1
0.79,A0,A1,58,3,A1
3.6,A3,A1,0,11,A0
5.65,A4,A1,131,7,
0.4,A0,A1,60,10,A1
5.45,A1,A1,105,10,A0
1.0,A2,A2,0,0,A1
0.8,A0,A1,0,0,A1
1.5,A3,A1,0,0,A0
7.499,A0,A1,82,7,A0
6.15,A1,A0,140,12,A0
1.95,A0,A1,75,8,A0
1.59,A1,A1,75,1,A0
2.49,A0,A1,68,10,A0
0.2,A2,A2,0,0,A1
3.45,A2,A1,0,10,A0
4.699,A3,A1,77,8,A0
6.0,A2,A2,0,5,A1
18.0,A1,A0,245,11,A0
2.444,A1,A1,122,1,A0
2.449,A4,A0,136,12,A0
22.7,A4,A0,218,10,A2
14.9,A4,A0,197,5,A0
2.1,A4,A1,150,1,A0
5.85,A0,A0,84,11,A0
8.2,A1,A1,105,8,A0
7.49,A0,A1,97,5,A0
1.35,A7,A1,116,6,A0
14.299,A5,A0,140,1,A0
2.9,A4,A0,140,5,A2
,A4,A1,140,1,A0
48.911,A5,A1,179,7,A0
0.0,A2,A2,0,0,A1
,A4,A1,140,12,A0
6.999,A4,A0,218,9,A1
0.425,A2,A1,0,4,A0
21.99,A4,A1,150,11,A0
7.2,A6,A1,238,6,A0
0.999,A4,A0,150,3,A0
11.25,A1,A1,122,3,A0
0.3,A0,A1,54,3,A0
7.9,A1,A1,80,12,A0
,A4,A0,204,8,A0
2.9,A7,A1,136,6,A0
0.75,A0,A1,60,1,A1
2.2,A5,A1,179,9,A0
28.699,A6,A0,177,3,A0
3.2,A7,A1,103,6,A0
1.15,A1,A1,140,2,A0
11.0,A1,A1,122,1,A0
6.9,A4,A0,218,3,A1
12.0,A1,A1,0,10,A0
3.5,A1,A0,278,0,A0
